"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
187015,"AIRMENS INSTITUTE",1,133480,133422
205338,"AIRMENS QUARTERS",1,144323,131528
134205,"AIRPORT",1,135239,134198
185296,"AIRSHIP CONSTRUCTION WORKS",1,132988,132062
191853,"AIRSHIP HANGAR",1,191852,133297
134207,"AIRSHIP HANGAR",1,134276,134198
135310,"AIRSHIP MOORING MAST",1,135239,134198
135192,"AIRSHIP STATION",1,135239,134198
135871,"AISLED BARN",1,134023,134003
141396,"AISLED BARN",1,141158,143383
141158,"AISLED BUILDING",1,143383,143383
143403,"AISLED HALL HOUSE",1,141158,143383
143574,"AISLED HALL HOUSE",1,143543,143383
131536,"AISLED HALL HOUSE",1,131655,131528
192054,"AISLED HOUSE",1,143543,143383
192076,"AISLED HOUSE",1,135169,131528
143549,"AISLED HOUSE",1,143504,143383
143404,"AISLED HOUSE",1,141158,143383
131537,"AISLED HOUSE",1,131655,131528
132228,"ALE STORE",1,135399,132062
133912,"ALIEN CELL",1,133911,133667
133968,"ALIEN PRIORY",1,133967,133667
145558,"ALKALI WORKS",1,145521,132062
132315,"ALKALI WORKS",1,132285,132062
133606,"ALL WEATHER PITCH",1,133610,133551
182788,"ALLAN WILLIAMS TURRET",1,133386,133297
131870,"ALLEE",1,131869,131783
135374,"ALLEY",1,134220,134198
134012,"ALLOTMENT",1,134133,134003
131784,"ALLOTMENT",1,131783,131783
184565,"ALLOTMENT SHED",1,135101,135088
134738,"ALMONRY",1,134482,134482
133668,"ALMONRY",1,133667,133667
136632,"ALMS TABLE",1,134482,134482
134486,"ALMSHOUSE",1,134482,134482
135012,"ALMSHOUSE",1,135011,131528
133669,"ALMSHOUSE",1,133667,133667
177401,"ALPACA MILL",1,133017,132062
132627,"ALPACA MILL",1,132625,132062
132889,"ALPACA MILL",1,132888,132062
131899,"ALPINE GARDEN",1,131898,131783
133670,"ALTAR",1,133667,133667
133880,"ALTAR TOMB",1,133879,133667
153863,"ALUM HOUSE",1,132287,132062
132288,"ALUM HOUSE",1,145515,132062
132289,"ALUM QUARRY",1,135415,132062
191883,"ALUM WORKS",1,132285,132062
145515,"ALUM WORKS",1,145521,132062
132287,"ALUM WORKS",1,135386,132062
132576,"ALUMINIUM SMELTER",1,135746,132062
132957,"ALUMINIUM SMELTER",1,135423,132062
186345,"ALUMINIUM WORKS",1,135413,132062
186339,"AMALGAMATION PLANT",1,153843,132062
135650,"AMBULANCE GARAGE",1,135247,134198
134487,"AMBULANCE GARAGE",1,134482,134482
134488,"AMBULANCE STATION",1,134482,134482
144663,"AMBULANCE STATION",1,133065,133065
131900,"AMERICAN GARDEN",1,131898,131783
140638,"AMMONAL WORKS",1,140637,132062
145582,"AMMONIUM NITRATE WORKS",1,140637,132062
145805,"AMMONIUM NITRATE WORKS",1,132277,132062
145824,"AMMONIUM NITRATE WORKS",1,145803,132062
145645,"AMMONIUM NITRATE WORKS",1,145643,132062
191887,"AMMONIUM PERCHLORATE WORKS",1,145521,132062
140646,"AMMONIUM PERCHLORATE WORKS",1,132285,132062
145583,"AMMONIUM PERCHLORATE WORKS",1,140637,132062
176386,"AMMUNITION DUMP",1,135063,133297
176387,"AMMUNITION STAND",1,176386,133297
205339,"AMPHIBIOUS BASE",1,133372,133297
133553,"AMPHITHEATRE",1,133551,133551
133671,"AMPHITHEATRE",1,133667,133667
133554,"AMUSEMENT ARCADE",1,135324,133551
182081,"AMUSEMENT PARK",1,133610,133551
192271,"ANCHOR WORKS",1,191972,132062
181221,"ANCHOR WORKS",1,134678,133420
181222,"ANCHOR WORKS",1,145554,132062
181223,"ANCHOR WORKS",1,132448,132062
182116,"ANCHORAGE (MARITIME)",1,133420,133420
135971,"ANCHORESSES CELL",1,133911,133667
133672,"ANCHORITE CELL",1,133911,133667
145743,"ANDERSON SHELTER",1,133300,133297
135719,"ANGLE TOWER",1,133355,133297
133685,"ANGLICAN CATHEDRAL",1,133732,133667
133684,"ANGLICAN CHURCH",1,133683,133667
136861,"ANGLICAN MONASTERY",1,133941,133667
133955,"ANGLICAN NUNNERY",1,133954,133667
